,id,matrix_gpa,language_test_scores,reading_test_score,math_test_scores,total_points,matrix_languauge,matrix_math,matrix_reading,status,matrix_languauge_retest,matrix_math_retest,matrix_reading_restest,total_points_retest,updated_at,guardian1_email,guardian2_email,grade,deliver_test_accomodation_approved,test_date_sign_up,current_school,gpa,language_test_scores2,reading_test_score2,math_test_scores2
623,624,,62.0,58.0,62.0,34,12,12,10,In Processing,,,,,2024-11-17 23:41:46,,,9,,December 14 2024,Renew Dolores T. Aaron Academy,,,,
624,625,,39.0,49.0,28.0,7,1,1,5,In Processing,,,,,2024-11-18 4:30:37,,,9,,April 26 2025 (No-rest option),Renew Dolores T. Aaron Academy,,,,
625,626,30.0,92.0,93.0,76.0,103.0,27,19,27,Eligible,,,,30.0,2024-11-18 9:33:26,,,10,Test Accommodations Approved,December 14 2024,Other,4.0,,,
626,627,,48.0,84.0,76.0,47,5,19,23,In Processing,,,,,2024-11-18 12:23:44,,,9,,January 18 2025,Lycee Francais de la Nouvelle Orleans,,,,
627,628,,,,,0,,,,In Processing,,,,,2024-11-21 9:56:31,,,10,,January 18 2025,International School of Louisiana,,,,
628,629,30.0,63.0,92.0,90.0,95.0,12,26,27,Eligible,,,,30.0,2024-11-18 13:38:11,,,9,,December 14 2024,Renew Dolores T. Aaron Academy,3.88,,,
629,630,,,,,0,,,,In Processing,,,,,2024-11-18 13:51:57,,,9,,,Arthur Ashe Charter School,,,,
630,631,,,,,0,,,,In Processing,,,,,2025-01-11 21:37:58,,,9,,April 26 2025 (No-rest option),Other,,,,
631,632,,,,,0,,,,In Processing,,,,,2024-11-18 14:11:44,,,9,,,Other,,,,
632,633,,,,,0,,,,In Processing,,,,,2024-11-18 14:15:00,,,10,,January 18 2025,Other,,,,
633,634,,,,,0,,,,In Processing,,,,,2024-11-18 14:23:08,,,9,,April 26 2025 (No-rest option),Edward Hynes Lakeview,,,,
634,635,,,,,0,,,,In Processing,,,,,2024-11-18 15:08:20,,,9,,,Dorothy Height Charter School,,,,
635,636,,46.0,55.0,48.0,17,4,5,8,In Processing,,,,,2024-11-18 18:49:11,,,9,,December 14 2024,KIPP East,,,,
636,637,,,,,0,,,,In Processing,,,,,2024-11-18 15:53:12,,,11,,January 18 2025,The Willow School,,,,
637,638,,,,,0,,,,In Processing,,,,,2024-11-18 15:55:41,,,9,,December 14 2024,Renew Dolores T. Aaron Academy,,,,
638,639,,51.0,68.0,50.0,27,6,6,15,In Processing,,,,,2024-11-18 16:03:54,,,9,,March 22 2025 (No-rest option),Benjamin Franklin Elementary,,,,
639,640,,,,,0,,,,In Processing,,,,,2024-11-18 16:54:02,,,9,,,KIPP Morial,,,,
640,641,30.0,81.0,97.0,99.0,110.0,21,30,29,In Processing,,,,30.0,2024-11-18 19:07:45,,,10,,December 14 2024,Other,4.0,,,
641,642,,,,,0,,,,In Processing,,,,,2024-11-18 20:05:29,,,9,,,Other,,,,
642,643,,21.0,43.0,26.0,4,1,1,2,In Processing,,,,,2024-12-13 12:09:58,,,9,Test Accommodations Approved,April 26 2025 (No-rest option),Audubon Uptown Montessori and French,,,,
643,644,,,,,0,,,,In Processing,,,,,2024-11-19 8:55:45,,,9,,January 18 2025,Audubon Gentilly,,,,
644,645,,,,,0,,,,In Processing,,,,,2024-11-19 10:13:07,,,9,,,Alice Harte Charter School,,,,
645,646,,69.0,61.0,62.0,38,15,12,11,In Processing,,,,,2024-11-19 10:18:31,,,9,,April 26 2025 (No-rest option),Other,,,,
646,647,,86.0,95.0,55.0,60,24,8,28,In Processing,,,,,2024-11-19 10:26:07,,,10,,March 22 2025 (No-rest option),International School of Louisiana,,,,
647,648,,97.0,97.0,98.0,88,29,30,29,In Processing,,,,,2024-11-19 10:58:29,,,9,,January 18 2025,The Willow School,,,,
648,649,30.0,91.0,98.0,43.0,88.0,26,2,30,Eligible,,,,30.0,2024-11-19 13:04:46,,,9,,December 14 2024,International School of Louisiana,4.0,,,
649,650,30.0,90.0,86.0,97.0,109.0,26,29,24,Eligible,,,,30.0,2024-11-19 13:11:58,,,10,,December 14 2024,Other,3.6,,,
650,651,30.0,80.0,94.0,80.0,100.0,21,21,28,Eligible,,,,30.0,2024-12-02 19:54:39,,,9,,January 18 2025,The Willow School,3.63,,,
651,652,,,,,0,,,,In Processing,,,,,2024-11-19 16:07:55,,,9,,,Alice Harte Charter School,,,,
652,653,,41.0,59.0,38.0,12,1,1,10,In Processing,,,,,2024-12-27 14:34:20,,,9,,January 18 2025,Audubon Uptown Montessori and French,,,,
653,654,30.0,99.0,98.0,99.0,120.0,30,30,30,Eligible,,,,30.0,2024-11-21 10:46:34,,,9,,December 14 2024,Arthur Ashe Charter School,4.0,,,
654,655,,80.0,,90.0,47,21,26,,In Processing,,,,,2024-11-19 19:45:59,,,9,Test Accommodations Approved,December 14 2024,KIPP Morial,,,,
655,656,,,,,0,,,,In Processing,,,,,2024-11-19 21:08:11,,,9,,February 15 2025 (No-rest option),Other,,,,
656,657,,,,,0,,,,In Processing,,,,,2024-11-19 21:33:26,,,11,,April 26 2025 (No-rest option),Cabrini High School,,,,
657,658,,60.0,38.0,57.0,21,11,9,1,In Processing,,,,,2024-11-19 23:28:11,,,9,,January 18 2025,Phillis Wheatley Community School,,,,
658,659,,,,,0,,,,In Processing,,,,,2024-11-20 6:20:45,,,9,,February 15 2025 (No-rest option),Alice Harte Charter School,,,,
659,660,22.0,73.0,99.0,78.0,89.0,17,20,30,Eligible,,,,22.0,2024-11-20 8:14:42,,,9,,December 14 2024,Audubon Uptown Montessori and French,2.75,,,
660,661,28.0,57.0,81.0,90.0,84.0,9,26,21,Eligible,,,,28.0,2024-11-20 10:07:27,,,9,,March 22 2025 (No-rest option),Lake Forest Elementary Charter School,3.38,,,
661,662,,58.0,81.0,91.0,57,10,26,21,In Processing,,,,,2024-11-20 12:57:49,,,9,,April 26 2025 (No-rest option),The Willow School,,,,
662,663,30.0,98.0,99.0,99.0,120.0,30,30,30,Eligible,,,,30.0,2024-11-20 13:24:53,,,9,,December 14 2024,Audubon Uptown Montessori and French,4.0,,,
663,664,,52.0,76.0,54.0,34,7,8,19,In Processing,,,,,2025-01-07 15:57:58,,,9,,January 18 2025,Audubon Uptown Montessori and French,,,,
664,665,,31.0,41.0,28.0,3,1,1,1,In Processing,,,,,2024-11-20 18:48:27,,,9,,January 18 2025,Success at Thurgood Marshall,,,,
665,666,30.0,96.0,91.0,84.0,108.0,29,23,26,Eligible,,,,30.0,2024-11-20 19:43:02,,,10,,December 14 2024,Cabrini High School,4.0,,,
666,667,,12.0,35.0,35.0,3,1,1,1,In Processing,,,,,2025-01-06 15:57:56,,,9,,January 18 2025,Esperanza Charter School,,,,
667,668,,12.0,35.0,35.0,3,1,1,1,In Processing,,,,,2025-01-06 15:57:56,,,9,,January 18 2025,Esperanza Charter School,,,,
668,669,,79.0,88.0,39.0,46,20,1,25,In Processing,,,,,2024-12-19 7:20:19,,,10,,January 18 2025,Lycee Francais de la Nouvelle Orleans,,,,
669,670,,26.0,61.0,41.0,13,1,1,11,In Processing,,,,,2024-12-04 14:43:48,,,9,,December 14 2024,Phillis Wheatley Community School,,,,
670,671,,90.0,97.0,29.0,56,26,1,29,In Processing,,,,,2024-11-21 10:01:17,,,9,,April 26 2025 (No-rest option),Einstein Middle School,,,,
671,672,,,,,0,,,,In Processing,,,,,2024-11-21 14:19:54,,,11,,December 14 2024,Other,,,,
672,673,,64.0,84.0,74.0,54,13,18,23,In Processing,,,,,2024-11-21 14:38:45,,,9,,January 18 2025,Homer Plessy Community School,,,,
673,674,30.0,76.0,99.0,93.0,106.0,19,27,30,Eligible,,,,30.0,2024-11-21 15:06:58,,,9,Test Accommodations Approved,December 14 2024,Martin Behrman Charter School,3.5,,,
674,675,30.0,72.0,87.0,72.0,88.0,17,17,24,Eligible,,,,30.0,2024-11-21 17:21:04,,,9,,December 14 2024,International School of Louisiana,4.0,,,
675,676,,,,,0,,,,In Processing,,,,,2024-11-21 18:02:47,,,9,,,Mary McLeod Bethune Elementary,,,,
676,677,18.0,79.0,82.0,80.0,81.0,20,21,22,In Processing,,,,18.0,2024-12-04 14:13:16,,,9,,March 22 2025 (No-rest option),Edward Hynes Lakeview,2.38,,,
677,678,,,,,0,,,,In Processing,,,,,2024-11-22 11:55:10,,,9,,March 22 2025 (No-rest option),Other,,,,
678,679,,54.0,48.0,43.0,15,8,2,5,In Processing,,,,,2024-11-22 13:35:31,,,9,,December 14 2024,International School of Louisiana,,,,
679,680,,22.0,33.0,37.0,3,1,1,1,In Processing,,,,,2024-11-22 14:31:30,,,9,,April 26 2025 (No-rest option),Audubon Gentilly,,,,
680,681,,,,,0,,,,In Processing,,,,,2024-11-22 17:41:02,,,9,,,St. Paul's Episcopal School,,,,
681,682,,76.0,71.0,9.0,36,19,1,16,In Processing,,,,,2024-11-23 11:08:35,,,10,,December 14 2024,Other,,,,
682,683,30.0,99.0,99.0,99.0,120.0,30,30,30,Eligible,,,,30.0,2024-11-23 12:11:56,,,9,,December 14 2024,The Willow School,4.0,,,
683,684,,,,,0,,,,In Processing,,,,,2024-11-23 12:55:29,,,9,,December 14 2024,KIPP Central City,,,,
684,685,27.0,80.0,82.0,41.0,71.0,21,1,22,Eligible,,,,27.0,2024-11-23 15:46:09,,,9,,March 22 2025 (No-rest option),Lake Forest Elementary Charter School,3.25,,,
685,686,,37.0,36.0,72.0,19,1,17,1,In Processing,,,,,2024-11-23 17:01:45,,,9,,January 18 2025,Phillis Wheatley Community School,,,,
686,687,,,,,0,,,,In Processing,,,,,2024-11-23 20:10:47,,,10,,December 14 2024,Other,,,,
687,688,,84.0,94.0,48.0,56,23,5,28,In Processing,,,,,2024-11-24 19:59:57,,,9,,January 18 2025,Ursuline Academy,,,,
688,689,,12.0,21.0,20.0,3,1,1,1,In Processing,,,,,2024-11-24 21:20:09,,,9,,December 14 2024,Other,,,,
689,690,,90.0,93.0,89.0,78,26,25,27,In Processing,,,,,2024-12-17 22:32:27,,,10,,January 18 2025,Other,,,,
690,691,,,,,0,,,,In Processing,,,,,2024-11-26 10:10:12,,,9,,April 26 2025 (No-rest option),St. George's Episcopal School,,,,
691,692,,16.0,39.0,61.0,13,1,11,1,In Processing,,,,,2024-11-26 10:13:28,,,9,,January 18 2025,Renew Dolores T. Aaron Academy,,,,
692,693,,,,,0,,,,In Processing,,,,,2024-11-27 17:03:18,,,9,,,Other,,,,
693,694,30.0,,,,30.0,,,,Eligible,,,,30.0,2024-11-28 9:09:10,,,9,,February 15 2025 (No-rest option),Homer Plessy Community School,4.0,,,
694,695,,35.0,35.0,28.0,3,1,1,1,In Processing,,,,,2024-11-28 16:06:42,,,9,,April 26 2025 (No-rest option),Homer Plessy Community School,,,,
695,696,,46.0,40.0,38.0,6,4,1,1,In Processing,,,,,2025-01-08 13:40:41,,,9,,April 26 2025 (No-rest option),Alice Harte Charter School,,,,
696,697,,52.0,92.0,33.0,35,7,1,27,In Processing,,,,,2024-11-29 9:16:57,,,9,,April 26 2025 (No-rest option),Bricolage Academy,,,,
697,698,30.0,96.0,99.0,99.0,119.0,29,30,30,Eligible,,,,30.0,2024-11-29 11:57:40,,,9,,December 14 2024,The Willow School,4.0,,,
698,699,27.0,87.0,97.0,66.0,94.0,24,14,29,Eligible,,,,27.0,2024-11-29 22:19:16,,,9,,January 18 2025,Homer Plessy Community School,3.37,,,
699,700,,21.0,57.0,29.0,11,1,1,9,In Processing,,,,,2024-11-30 17:31:56,,,9,,December 14 2024,Homer Plessy Community School,,,,
700,701,,56.0,65.0,20.0,23,9,1,13,In Processing,,,,,2024-11-30 10:43:27,,,9,,December 14 2024,KIPP East,,,,
701,702,30.0,76.0,99.0,94.0,107.0,19,28,30,Eligible,,,,30.0,2024-12-01 10:04:29,,,9,,January 18 2025,The Willow School,4.0,,,
702,703,,,,,0,,,,In Processing,,,,,2024-12-01 15:00:01,,,10,,,International School of Louisiana,,,,
703,704,,42.0,63.0,41.0,15,2,1,12,In Processing,,,,,2024-12-02 14:40:06,,,9,,April 26 2025 (No-rest option),Benjamin Franklin Elementary,,,,
704,705,,34.0,57.0,38.0,11,1,1,9,In Processing,,,,,2024-12-02 14:42:03,,,9,,April 26 2025 (No-rest option),Benjamin Franklin Elementary,,,,
705,706,,,,,0,,,,In Processing,,,,,2024-12-02 14:47:31,,,9,,February 15 2025 (No-rest option),Dorothy Height Charter School,,,,
706,707,,,,,0,,,,In Processing,,,,,2024-12-02 15:45:40,,,9,,,Andrew H. Wilson Charter School,,,,
707,708,,35.0,61.0,86.0,36,1,24,11,In Processing,,,,,2024-12-02 17:27:52,,,9,,January 18 2025,Lake Forest Elementary Charter School,,,,
708,709,,,,,0,,,,In Processing,,,,,2024-12-02 17:47:53,,,9,,,Audubon Gentilly,,,,
709,710,,38.0,61.0,41.0,13,1,1,11,In Processing,,,,,2024-12-02 20:05:19,,,9,,April 26 2025 (No-rest option),Edward Hynes Lakeview,,,,
710,711,25.0,81.0,82.0,74.0,86.0,21,18,22,In Processing,,,,25.0,2024-12-02 20:36:56,,,9,Test Accommodations Approved,April 26 2025 (No-rest option),Audubon Uptown Montessori and French,3.0,,,
711,712,,,,,0,,,,In Processing,,,,,2024-12-02 21:42:48,,,9,,January 18 2025,International School of Louisiana,,,,
712,713,,81.0,71.0,55.0,45,21,8,16,In Processing,,,,,2024-12-02 22:48:22,,,10,,January 18 2025,Other,,,,
713,714,,,,,0,,,,In Processing,,,,,2024-12-03 5:20:32,,,9,,,Bricolage Academy,,,,
714,715,,72.0,70.0,37.0,34,17,1,16,In Processing,,,,,2024-12-03 6:45:30,,,9,,April 26 2025 (No-rest option),Morris Jeff Community School,,,,
715,716,30.0,99.0,96.0,99.0,119.0,30,30,29,In Processing,,,,30.0,2024-12-03 6:53:18,,,10,,January 18 2025,Other,3.75,,,
716,717,,,,,0,,,,In Processing,,,,,2024-12-03 7:50:16,,,9,,February 15 2025 (No-rest option),Bricolage Academy,,,,
717,718,,,,,0,,,,In Processing,,,,,2024-12-03 9:19:53,,,9,,,Benjamin Franklin Elementary,,,,
718,719,,,,,0,,,,In Processing,,,,,2024-12-03 11:48:12,,,10,,,Other,,,,
719,720,,,,,0,,,,In Processing,,,,,2024-12-03 11:41:18,,,9,,January 18 2025,International School of Louisiana,,,,
720,721,,,,,0,,,,In Processing,,,,,2024-12-03 12:27:55,,,9,,,Audubon Uptown Montessori and French,,,,
721,722,,66.0,78.0,24.0,35,14,1,20,In Processing,,,,,2025-01-07 9:08:17,,,10,,April 26 2025 (No-rest option),Cabrini High School,,,,
722,723,,,,,0,,,,In Processing,,,,,2024-12-03 14:12:25,,,9,,March 22 2025 (No-rest option),Bricolage Academy,,,,
723,724,,37.0,50.0,28.0,8,1,1,6,In Processing,,,,,2024-12-03 14:50:04,,,9,,January 18 2025,Edward Hynes Parkview,,,,
724,725,,76.0,85.0,70.0,58,19,16,23,In Processing,,,,,2024-12-03 15:39:20,,,10,,April 26 2025 (No-rest option),Other,,,,
725,726,,93.0,85.0,24.0,51,27,1,23,In Processing,,,,,2024-12-07 20:28:06,,,10,,April 26 2025 (No-rest option),Other,,,,
726,727,,77.0,25.0,64.0,33,19,13,1,In Processing,,,,,2024-12-03 19:27:42,,,11,,January 18 2025,Other,,,,
727,728,,,,,0,,,,In Processing,,,,,2024-12-03 19:23:37,,,9,,,Benjamin Franklin Elementary,,,,
728,729,,,,,0,,,,In Processing,,,,,2024-12-03 19:29:08,,,9,,,Homer Plessy Community School,,,,
729,730,,43.0,59.0,86.0,36,2,24,10,In Processing,,,,,2024-12-03 19:55:13,,,9,,March 22 2025 (No-rest option),Renew Dolores T. Aaron Academy,,,,
730,731,,43.0,59.0,86.0,36,2,24,10,In Processing,,,,,2024-12-03 19:55:13,,,9,,March 22 2025 (No-rest option),Renew Dolores T. Aaron Academy,,,,
731,732,,,,,0,,,,In Processing,,,,,2024-12-04 11:25:35,,,9,,April 26 2025 (No-rest option),Langston Hughes Academy,,,,
732,733,,,,,0,,,,In Processing,,,,,2024-12-04 11:32:53,,,11,,January 18 2025,Arden Cahill Academy,,,,
733,734,30.0,65.0,97.0,94.0,100.0,13,28,29,Eligible,,,,30.0,2024-12-05 10:16:18,,,9,,January 18 2025,Arthur Ashe Charter School,3.63,,,
734,735,,,,,0,,,,In Processing,,,,,2024-12-04 13:57:51,,,9,,April 26 2025 (No-rest option),Arthur Ashe Charter School,,,,
735,736,,,,,0,,,,In Processing,,,,,2024-12-04 14:38:48,,,9,,January 18 2025,Fannie C. Williams Charter School,,,,
736,737,,,,,0,,,,In Processing,,,,,2024-12-04 16:50:15,,,9,,,Arthur Ashe Charter School,,,,
737,738,,80.0,76.0,35.0,41,21,1,19,In Processing,,,,,2024-12-04 16:55:59,,,9,,January 18 2025,YACS at Lawrence D. Crocker,,,,
738,739,,79.0,87.0,70.0,60,20,16,24,In Processing,,,,,2024-12-04 17:04:21,,,10,,April 26 2025 (No-rest option),Lycee Francais de la Nouvelle Orleans,,,,
739,740,30.0,81.0,85.0,88.0,99.0,21,25,23,Eligible,,,,30.0,2024-12-04 17:09:39,,,9,,January 18 2025,The Willow School,3.88,,,
740,741,,,,,0,,,,In Processing,,,,,2024-12-04 18:37:55,,,9,,January 18 2025,Jesuit High School,,,,
741,742,,68.0,69.0,7.0,31,15,1,15,In Processing,,,,,2024-12-05 23:18:27,,,10,,April 26 2025 (No-rest option),Other,,,,
742,743,,97.0,99.0,99.0,89,29,30,30,In Processing,,,,,2024-12-05 8:36:13,,,9,,January 18 2025,Bricolage Academy,,,,
743,744,22.0,73.0,80.0,78.0,80.0,17,20,21,In Processing,,,,22.0,2025-02-06 14:51:27,,,9,,April 26 2025 (No-rest option),Audubon Uptown Montessori and French,2.75,,,
744,745,,44.0,53.0,43.0,12,3,2,7,In Processing,,,,,2024-12-05 10:33:15,,,9,,January 18 2025,Audubon Uptown Montessori and French,,,,
745,746,,75.0,61.0,78.0,49,18,20,11,In Processing,,,,,2024-12-05 11:20:42,,,9,,January 18 2025,Mary McLeod Bethune Elementary,,,,
746,747,,43.0,84.0,20.0,26,2,1,23,In Processing,,,,,2024-12-05 12:44:01,,,9,,April 26 2025 (No-rest option),Other,,,,
747,748,,,,,0,,,,In Processing,,,,,2024-12-16 19:16:35,,,9,,February 15 2025 (No-rest option),Success at Thurgood Marshall,,,,
748,749,,,,,0,,,,In Processing,,,,,2024-12-05 22:34:09,,,9,,March 22 2025 (No-rest option),Alice Harte Charter School,,,,
749,750,,,,,0,,,,In Processing,,,,,2024-12-06 10:31:27,,,10,,,Other,,,,
750,751,,,,,0,,,,In Processing,,,,,2024-12-06 11:09:41,,,11,,January 18 2025,International School of Louisiana,,,,
751,752,,36.0,37.0,45.0,5,1,3,1,In Processing,,,,,2024-12-20 19:58:46,,,9,,April 26 2025 (No-rest option),Andrew H. Wilson Charter School,,,,
752,753,,,,,0,,,,In Processing,,,,,2025-01-20 9:53:00,,,11,,February 15 2025 (No-rest option),Lycee Francais de la Nouvelle Orleans,,,,
753,754,30.0,72.0,87.0,96.0,100.0,17,29,24,Eligible,,,,30.0,2025-01-07 15:19:54,,,9,,January 18 2025,Lake Forest Elementary Charter School,3.88,,,
754,755,,,,,0,,,,In Processing,,,,,2024-12-06 18:48:34,,,11,,,Other,,,,
755,756,,88.0,97.0,43.0,56,25,2,29,In Processing,,,,,2024-12-06 22:22:57,,,11,,April 26 2025 (No-rest option),Other,,,,
756,757,30.0,87.0,95.0,90.0,108.0,24,26,28,Eligible,,,,30.0,2024-12-07 15:23:43,,,9,,January 18 2025,Mary McLeod Bethune Elementary,4.0,,,
757,758,,,,,0,,,,In Processing,,,,,2024-12-07 17:30:59,,,11,,January 18 2025,Metairie Park Country Day,,,,
758,759,,,,,0,,,,In Processing,,,,,2024-12-07 18:16:33,,,9,,,Edward Hynes Lakeview,,,,
759,760,,95.0,91.0,88.0,79,28,25,26,In Processing,,,,,2024-12-08 18:00:49,,,11,,January 18 2025,The Willow School,,,,
760,761,,97.0,88.0,77.0,73,29,19,25,In Processing,,,,,2024-12-08 21:10:12,,,11,,April 26 2025 (No-rest option),Lycee Francais de la Nouvelle Orleans,,,,
761,762,,23.0,60.0,45.0,15,1,3,11,In Processing,,,,,2024-12-09 9:13:56,,,9,,January 18 2025,Kipp Believe,,,,
762,763,,,,,0,,,,In Processing,,,,,2024-12-09 9:43:53,,,9,,January 18 2025,Audubon Uptown Montessori and French,,,,
763,764,23.0,89.0,84.0,92.0,98.0,25,27,23,Eligible,,,,23.0,2024-12-09 10:10:08,,,10,,January 18 2025,Other,2.85,,,
764,765,,43.0,28.0,14.0,4,2,1,1,In Processing,,,,,2024-12-09 11:39:39,,,10,,May 24 2025 (Final Test Date),Other,,,,
765,766,,18.0,29.0,22.0,3,1,1,1,In Processing,,,,,2024-12-09 11:11:07,,,9,,January 18 2025,Einstein Middle School,,,,
766,767,,,,,0,,,,In Processing,,,,,2024-12-09 11:15:12,,,9,,,Phillis Wheatley Community School,,,,
767,768,,62.0,89.0,50.0,43,12,6,25,In Processing,,,,,2024-12-09 11:35:07,,,9,,April 26 2025 (No-rest option),Audubon Uptown Montessori and French,,,,
768,769,,,,,0,,,,In Processing,,,,,2024-12-09 11:38:34,,,9,,,Other,,,,
769,770,,17.0,53.0,39.0,9,1,1,7,In Processing,,,,,2024-12-09 12:43:57,,,9,,April 26 2025 (No-rest option),Homer Plessy Community School,,,,
770,771,,,,,0,,,,In Processing,,,,,2024-12-09 14:58:01,,,11,,,Louise McGehee,,,,
771,772,,,,,0,,,,In Processing,,,,,2024-12-09 16:38:40,,,9,,February 15 2025 (No-rest option),Audubon Uptown Montessori and French,,,,
772,773,,60.0,59.0,62.0,33,11,12,10,In Processing,,,,,2024-12-09 16:57:59,,,9,,April 26 2025 (No-rest option),Other,,,,
773,774,,99.0,74.0,64.0,61,30,13,18,In Processing,,,,,2024-12-09 17:27:20,,,11,,April 26 2025 (No-rest option),Other,,,,
774,775,,,,,0,,,,In Processing,,,,,2025-01-06 23:32:37,,,10,,April 26 2025 (No-rest option),Other,,,,
775,776,30.0,64.0,97.0,72.0,89.0,13,17,29,Eligible,,,,30.0,2024-12-09 20:49:59,,,9,,January 18 2025,Morris Jeff Community School,4.0,,,
776,777,,75.0,73.0,18.0,36,18,1,17,In Processing,,,,,2024-12-10 11:44:47,,,9,,April 26 2025 (No-rest option),Audubon Uptown Montessori and French,,,,
777,778,,93.0,93.0,62.0,66,27,12,27,In Processing,,,,,2025-01-07 20:50:23,,,10,,April 26 2025 (No-rest option),Ursuline Academy,,,,
778,779,,79.0,83.0,66.0,56,20,14,22,In Processing,,,,,2024-12-10 17:58:30,,,10,,April 26 2025 (No-rest option),Other,,,,
779,780,,,,,0,,,,In Processing,,,,,2024-12-10 21:39:45,,,9,,,Arthur Ashe Charter School,,,,
780,781,,,,,0,,,,In Processing,,,,,2024-12-11 7:21:13,,,10,,January 18 2025,Other,,,,
781,782,,71.0,92.0,43.0,45,16,2,27,In Processing,,,,,2024-12-11 9:20:57,,,9,,January 18 2025,Homer Plessy Community School,,,,
782,783,30.0,,,,30.0,,,,Eligible,,,,30.0,2024-12-11 13:05:06,,,9,,February 15 2025 (No-rest option),Morris Jeff Community School,4.0,,,
783,784,,,,,0,,,,In Processing,,,,,2024-12-12 4:06:10,,,9,,,Audubon Uptown Montessori and French,,,,
784,785,,,,,0,,,,In Processing,,,,,2024-12-13 0:00:02,,,9,,February 15 2025 (No-rest option),Audubon Uptown Montessori and French,,,,
785,786,,,,,0,,,,In Processing,,,,,2024-12-13 9:10:06,,,9,,January 18 2025,Morris Jeff Community School,,,,
786,787,,,,,0,,,,In Processing,,,,,2024-12-13 12:42:06,,,9,,,Renew Laurel Elementary,,,,
787,788,,,,,0,,,,In Processing,,,,,2024-12-13 14:29:04,,,9,,February 15 2025 (No-rest option),Edward Hynes Lakeview,,,,
788,789,,,,,0,,,,In Processing,,,,,2024-12-14 11:00:26,,,10,,,International School of Louisiana,,,,
789,790,,,,,0,,,,In Processing,,,,,2024-12-14 14:32:43,,,9,,,Benjamin Franklin Elementary,,,,
790,791,30.0,82.0,85.0,97.0,104.0,22,29,23,Eligible,,,,30.0,2024-12-14 14:36:10,,,9,,January 18 2025,Mildred Osborne Charter School,4.0,,,
791,792,,,,,0,,,,In Processing,,,,,2024-12-14 16:39:42,,,9,,March 22 2025 (No-rest option),Lake Forest Elementary Charter School,,,,
792,793,,,,,0,,,,In Processing,,,,,2024-12-14 16:39:42,,,9,,March 22 2025 (No-rest option),Lake Forest Elementary Charter School,,,,
793,794,,,,,0,,,,In Processing,,,,,2025-03-15 18:47:26,,,9,,March 22 2025 (No-rest option),Phillis Wheatley Community School,,,,
794,795,30.0,89.0,98.0,99.0,115.0,25,30,30,Eligible,,,,30.0,2024-12-15 10:15:52,,,9,,January 18 2025,The Willow School,4.0,,,
795,796,,,,,0,,,,In Processing,,,,,2024-12-15 12:28:15,,,10,,,Other,,,,
796,797,,26.0,59.0,43.0,13,1,2,10,In Processing,,,,,2024-12-15 12:41:55,,,9,,January 18 2025,Homer Plessy Community School,,,,
797,798,26.0,85.0,99.0,99.0,109.0,23,30,30,Eligible,,,,26.0,2024-12-16 10:27:02,,,9,,January 18 2025,Ursuline Academy,3.16,,,
798,799,,,,,0,,,,In Processing,,,,,2024-12-16 17:18:09,,,9,,,Langston Hughes Academy,,,,
799,800,,34.0,21.0,16.0,3,1,1,1,In Processing,,,,,2024-12-16 18:07:20,,,9,,April 26 2025 (No-rest option),Arthur Ashe Charter School,,,,
800,801,,39.0,67.0,51.0,21,1,6,14,In Processing,,,,,2024-12-20 9:29:08,,,9,,January 18 2025,Audubon Uptown Montessori and French,,,,
801,802,,,,,0,,,,In Processing,,,,,2024-12-17 9:25:15,,,10,,February 15 2025 (No-rest option),Other,,,,
802,803,,33.0,51.0,12.0,8,1,1,6,In Processing,,,,,2024-12-17 9:50:50,,,9,,April 26 2025 (No-rest option),Renew Robert Russa Moton: Lakefront:,,,,
803,804,,,,,0,,,,In Processing,,,,,2024-12-17 13:09:39,,,9,,January 18 2025,Audubon Uptown Montessori and French,,,,
804,805,,,,,0,,,,In Processing,,,,,2025-01-12 20:26:37,,,9,,March 22 2025 (No-rest option),Audubon Uptown Montessori and French,,,,
805,806,,,,,0,,,,In Processing,,,,,2024-12-17 13:40:48,,,9,,January 18 2025,Bricolage Academy,,,,
806,807,,,,,0,,,,In Processing,,,,,2024-12-18 18:05:11,,,11,,January 18 2025,Other,,,,
807,808,,82.0,61.0,74.0,51,22,18,11,In Processing,,,,,2024-12-17 15:50:49,,,9,,April 26 2025 (No-rest option),Edward Hynes Lakeview,,,,
808,809,30.0,41.0,97.0,97.0,89.0,1,29,29,Eligible,,,,30.0,2024-12-17 23:51:35,,,9,,April 26 2025 (No-rest option),Mildred Osborne Charter School,4.0,,,
809,810,,,,,0,,,,In Processing,,,,,2024-12-27 13:13:04,,,11,,,Lycee Francais de la Nouvelle Orleans,,,,
810,811,,,,,0,,,,In Processing,,,,,2024-12-18 10:21:01,,,10,,April 26 2025 (No-rest option),Other,,,,
811,812,30.0,75.0,95.0,99.0,106.0,18,30,28,Eligible,,,,30.0,2024-12-19 8:02:52,,,9,,January 18 2025,Homer Plessy Community School,4.0,,,
812,813,,79.0,68.0,24.0,36,20,1,15,In Processing,,,,,2024-12-19 10:01:47,,,10,,January 18 2025,Other,,,,
813,814,,84.0,90.0,68.0,64,23,15,26,In Processing,,,,,2024-12-19 12:47:49,,,11,,April 26 2025 (No-rest option),Isidore Newman,,,,
814,815,21.0,69.0,94.0,86.0,88.0,15,24,28,Eligible,,,,21.0,2024-12-19 13:42:44,,,9,,January 18 2025,Lycee Francais de la Nouvelle Orleans,2.66,,,
