,id,matrix_gpa,language_test_scores,reading_test_score,math_test_scores,total_points,matrix_languauge,matrix_math,matrix_reading,status,matrix_languauge_retest,matrix_math_retest,matrix_reading_restest,total_points_retest,updated_at,guardian1_email,guardian2_email,grade,deliver_test_accomodation_approved,test_date_sign_up,current_school,gpa,language_test_scores2,reading_test_score2,math_test_scores2
491,492,,,,,0,,,,In Processing,,,,,2024-11-04 13:28:24,,,9,,,International School of Louisiana,,,,
492,493,,,,,0,,,,In Processing,,,,,2024-11-04 13:40:22,,,9,,January 18 2025,KIPP Leadership,,,,
493,494,,65.0,69.0,41.0,29,13,1,15,In Processing,,,,,2024-11-04 14:08:19,,,9,,January 18 2025,Benjamin Franklin Elementary,,,,
494,495,,43.0,39.0,48.0,8,2,5,1,In Processing,,,,,2024-11-04 14:13:21,,,10,,March 22 2025 (No-rest option),International School of Louisiana,,,,
495,496,,,,,0,,,,In Processing,,,,,2024-11-04 14:29:47,,,11,,,Other,,,,
496,497,,75.0,87.0,51.0,48,18,6,24,In Processing,,,,,2025-01-09 18:30:48,,,9,,January 18 2025,International School of Louisiana,,,,
497,498,,,,,0,,,,In Processing,,,,,2024-11-04 15:16:42,,,9,,,Edward Hynes Lakeview,,,,
498,499,,28.0,53.0,29.0,9,1,1,7,In Processing,,,,,2024-11-04 15:34:13,,,9,,December 14 2024,Success at Thurgood Marshall,,,,
499,500,,,,,0,,,,In Processing,,,,,2024-11-04 15:36:28,,,9,,February 15 2025 (No-rest option),Phillis Wheatley Community School,,,,
500,501,,,,,0,,,,In Processing,,,,,2024-11-04 15:54:09,,,10,,January 18 2025,Other,,,,
501,502,,,,,0,,,,In Processing,,,,,2024-11-04 17:34:48,,,9,,,Edward Hynes Parkview,,,,
502,503,,44.0,65.0,41.0,17,3,1,13,In Processing,,,,,2024-11-04 17:50:56,,,9,,December 14 2024,Audubon Gentilly,,,,
