id,matrix_gpa,language_test_scores,reading_test_score,math_test_scores,total_points,matrix_languauge,matrix_math,matrix_reading,status,matrix_languauge_retest,matrix_math_retest,matrix_reading_restest,total_points_retest,updated_at,guardian1_email,guardian2_email,grade,deliver_test_accomodation_approved,test_date_sign_up,current_school,gpa
608,nan,88.0,83.0,73.0,64.0,25.0,17.0,22.0,In Processing,nan,nan,nan,nan,2024-11-14 20:01:43,nan,nan,10,nan,December 14 2024,Other,nan
609,nan,27.0,56.0,35.0,37.0,27.0,1.0,9.0,In Processing,nan,nan,nan,nan,2024-11-14 20:36:33,nan,nan,9,nan,April 26 2025 (No-rest option),Renew Dolores T. Aaron Academy,nan
610,nan,40.0,64.0,33.0,15.0,1.0,1.0,s0Mc,In Processing,nan,nan,nan,nan,2024-12-02 22:18:01,nan,nan,10,nan,January 18 2025,Other,nan
611,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-11-15 2:43:46,nan,nan,9,nan,nan,Fannie C. Williams Charter School,nan
612,nan,88.0,80.0,55.0,54.0,25.0,8.0,21.0,In Processing,nan,nan,nan,nan,2024-11-15 9:14:05,nan,nan,10,nan,March 22 2025 (No-rest option),Other,nan
613,nan,65.0,92.0,98.0,70.0,13.0,30.0,27.0,In Processing,nan,nan,nan,nan,2024-11-15 21:04:17,nan,nan,9,nan,December 14 2024,Edward Hynes Lakeview,nan
614,nan,41.0,37.0,57.0,11.0,1.0,9.0,1.0,In Processing,nan,nan,nan,nan,2024-11-18 17:11:40,nan,nan,9,nan,April 26 2025 (No-rest option),Renew Dolores T. Aaron Academy,nan
615,nan,53.0,31.0,51.0,14.0,7.0,6.0,1.0,In Processing,12.0,12.0,1.0,25.0,2024-11-16 10:05:54,nan,nan,9,nan,March 22 2025 (No-rest option),Renew Dolores T. Aaron Academy,nan
616,nan,59.0,89.0,80.0,56.0,10.0,21.0,25.0,In Processing,nan,nan,nan,nan,2024-11-16 15:44:13,nan,nan,9,nan,December 14 2024,Edward Hynes Lakeview,nan
617,nan,nan,nan,nan,xY9t,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-11-16 20:20:16,nan,nan,9,nan,nan,Edward Hynes Lakeview,nan
618,30.0,97.0,99.0,99.0,119.0,29.0,30.0,30.0,Eligible,nan,nan,nan,nan,2024-11-17 4:08:51,nan,nan,9,nan,January 18 2025,Audubon Uptown Montessori and French,4.0
619,nan,38.0,77.0,38.0,21.0,1.0,1.0,19.0,In Processing,nan,nan,nan,nan,2024-11-17 17:09:17,nan,nan,9,nan,December 14 2024,Edward Hynes Parkview,nan
620,nan,9.0,33.0,31.0,3.0,1.0,1.0,1.0,In Processing,nan,nan,nan,nan,2024-11-17 21:15:47,nan,nan,9,nan,December 14 2024,St. Paul's Episcopal School,nan
621,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,9.0,10.0,20.0,39.0,2024-11-17 21:20:56,nan,nan,9,nan,February 15 2025 (No-rest option),Alice Harte Charter School,nan
622,nan,53.0,48.0,24.0,13.0,7.0,1.0,5.0,In Processing,nan,nan,nan,nan,2024-11-17 22:12:26,nan,nan,10,nan,January 18 2025,Other,nan
623,nan,62.0,58.0,62.0,34.0,12.0,12.0,10.0,In Processing,nan,nan,nan,nan,2024-11-17 23:41:46,nan,nan,9,nan,December 14 2024,Renew Dolores T. Aaron Academy,nan
624,nan,62.0,58.0,62.0,34.0,12.0,12.0,10.0,In Processing,nan,nan,nan,nan,2024-11-17 23:41:46,nan,nan,9,nan,December 14 2024,Renew Dolores T. Aaron Academy,nan
625,nan,39.0,49.0,28.0,7.0,1.0,1.0,5.0,In Processing,nan,nan,nan,nan,2024-11-18 4:30:37,nan,nan,9,nan,April 26 2025 (No-rest option),Renew Dolores T. Aaron Academy,nan
626,30.0,92.0,93.0,76.0,103.0,27.0,19.0,27.0,Eligible,nan,nan,nan,nan,2024-11-18 9:33:26,nan,nan,10,Test Accommodations Approved,December 14 2024,Other,4.0
627,nan,48.0,84.0,76.0,47.0,5.0,19.0,23.0,In Processing,nan,nan,nan,nan,2024-11-18 12:23:44,nan,nan,9,nan,January 18 2025,Lycee Francais de la Nouvelle Orleans,nan
628,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-11-21 9:56:31,nan,nan,10,nan,January 18 2025,International School of Louisiana,nan
629,30.0,63.0,92.0,90.0,95.0,12.0,26.0,27.0,Eligible,nan,nan,nan,nan,2024-11-18 13:38:11,nan,nan,9,nan,December 14 2024,Renew Dolores T. Aaron Academy,3.88
630,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-11-18 13:51:57,nan,nan,9,nan,nan,Arthur Ashe Charter School,nan
631,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-11 21:37:58,nan,nan,9,nan,April 26 2025 (No-rest option),Other,nan
632,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-11-18 14:11:44,nan,nan,9,nan,nan,Other,nan
633,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-11-18 14:15:00,nan,nan,10,nan,January 18 2025,Other,nan
634,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-11-18 14:23:08,nan,nan,9,nan,April 26 2025 (No-rest option),Edward Hynes Lakeview,nan
635,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-11-18 15:08:20,nan,nan,9,nan,nan,Dorothy Height Charter School,nan
636,nan,46.0,55.0,48.0,17.0,4.0,5.0,8.0,In Processing,nan,nan,nan,nan,2024-11-18 18:49:11,nan,nan,9,nan,December 14 2024,KIPP East,nan
637,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-11-18 15:53:12,nan,nan,11,nan,January 18 2025,The Willow School,nan
638,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-11-18 15:55:41,nan,nan,9,nan,December 14 2024,Renew Dolores T. Aaron Academy,nan
639,nan,51.0,68.0,50.0,27.0,6.0,6.0,15.0,In Processing,10.0,6.0,11.0,27.0,2024-11-18 16:03:54,nan,nan,9,nan,March 22 2025 (No-rest option),Benjamin Franklin Elementary,nan
640,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-11-18 16:54:02,nan,nan,9,nan,nan,D9Uw,nan
641,30.0,81.0,97.0,99.0,110.0,21.0,30.0,29.0,In Processing,nan,nan,nan,nan,2024-11-18 19:07:45,nan,nan,10,nan,December 14 2024,Other,4.0
642,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-11-18 20:05:29,nan,nan,9,nan,nan,Other,nan
643,nan,21.0,43.0,26.0,4.0,1.0,1.0,2.0,In Processing,nan,nan,nan,nan,2024-12-13 12:09:58,nan,nan,9,Test Accommodations Approved,April 26 2025 (No-rest option),Audubon Uptown Montessori and French,nan
644,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-11-19 8:55:45,nan,nan,9,nan,January 18 2025,Audubon Gentilly,nan
645,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-11-19 10:13:07,nan,nan,9,nan,nan,Alice Harte Charter School,nan
646,nan,69.0,61.0,62.0,38.0,15.0,12.0,11.0,phF8,nan,nan,nan,nan,2024-11-19 10:18:31,nan,nan,9,nan,April 26 2025 (No-rest option),Other,nan
647,nan,86.0,95.0,55.0,60.0,24.0,8.0,28.0,In Processing,24.0,12.0,20.0,56.0,2024-11-19 10:26:07,nan,nan,10,nan,March 22 2025 (No-rest option),International School of Louisiana,nan
648,nan,97.0,97.0,98.0,88.0,29.0,30.0,29.0,In Processing,nan,nan,nan,nan,2024-11-19 10:58:29,nan,nan,9,nan,January 18 2025,The Willow School,nan
649,30.0,91.0,98.0,43.0,88.0,26.0,2.0,30.0,Eligible,nan,nan,nan,nan,2024-11-19 13:04:46,nan,nan,9,nan,December 14 2024,International School of Louisiana,4.0
650,30.0,90.0,86.0,97.0,109.0,26.0,29.0,24.0,Eligible,nan,nan,nan,nan,2024-11-19 13:11:58,nan,nan,10,nan,December 14 2024,Other,3.6
651,30.0,80.0,94.0,80.0,100.0,21.0,21.0,28.0,Eligible,nan,nan,nan,nan,2024-12-02 19:54:39,nan,nan,9,nan,January 18 2025,The Willow School,3.63
652,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-11-19 16:07:55,nan,nan,9,nan,nan,Alice Harte Charter School,nan
653,nan,41.0,59.0,38.0,12.0,1.0,1.0,10.0,In Processing,nan,nan,nan,nan,2024-12-27 14:34:20,nan,nan,9,nan,January 18 2025,Audubon Uptown Montessori and French,nan
654,30.0,99.0,98.0,99.0,120.0,30.0,30.0,30.0,Eligible,nan,nan,nan,nan,2024-11-21 10:46:34,nan,nan,9,nan,December 14 2024,Arthur Ashe Charter School,4.0
655,nan,80.0,0.0,90.0,48.0,21.0,26.0,1.0,In Processing,nan,nan,nan,nan,2024-11-19 19:45:59,nan,nan,9,Test Accommodations Approved,December 14 2024,KIPP Morial,nan
656,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,1.0,3.0,hK0S,7.0,2024-11-19 21:08:11,nan,nan,9,nan,February 15 2025 (No-rest option),Other,nan
657,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-11-19 21:33:26,nan,nan,11,nan,April 26 2025 (No-rest option),Cabrini High School,nan
658,nan,60.0,38.0,57.0,21.0,11.0,9.0,1.0,In Processing,nan,nan,nan,nan,2024-11-19 23:28:11,nan,nan,9,nan,January 18 2025,Phillis Wheatley Community School,nan
659,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-11-20 6:20:45,nan,nan,9,nan,February 15 2025 (No-rest option),Alice Harte Charter School,nan
660,22.0,73.0,99.0,78.0,89.0,17.0,20.0,30.0,Eligible,nan,nan,nan,nan,2024-11-20 8:14:42,nan,nan,9,nan,December 14 2024,Audubon Uptown Montessori and French,2.75
661,28.0,57.0,81.0,90.0,84.0,9.0,26.0,21.0,Eligible,16.0,29.0,29.0,102.0,2024-11-20 10:07:27,nan,nan,9,nan,March 22 2025 (No-rest option),Lake Forest Elementary Charter School,3.38
662,nan,58.0,81.0,91.0,57.0,10.0,26.0,21.0,In Processing,nan,nan,nan,nan,2024-11-20 12:57:49,nan,nan,9,nan,April 26 2025 (No-rest option),The Willow School,nan
663,30.0,98.0,99.0,99.0,120.0,30.0,30.0,30.0,Eligible,nan,nan,nan,nan,2024-11-20 13:24:53,nan,nan,9,nan,December 14 2024,Audubon Uptown Montessori and French,4.0
664,nan,52.0,76.0,54.0,34.0,7.0,8.0,19.0,In Processing,nan,nan,nan,nan,2025-01-07 15:57:58,nan,nan,9,nan,January 18 2025,Audubon Uptown Montessori and French,nan
665,nan,31.0,41.0,28.0,3.0,1.0,1.0,1.0,In Processing,nan,nan,nan,nan,2024-11-20 18:48:27,nan,nan,9,nan,January 18 2025,Success at Thurgood Marshall,nan
666,30.0,96.0,91.0,84.0,108.0,29.0,23.0,26.0,Eligible,nan,nan,nan,nan,2024-11-20 19:43:02,nan,nan,10,nan,December 14 2024,Cabrini High School,4.0
667,nan,12.0,35.0,35.0,3.0,1.0,1.0,1.0,In Processing,nan,nan,nan,nan,2025-01-06 15:57:56,nan,nan,9,nan,January 18 2025,Esperanza Charter School,nan
668,nan,12.0,35.0,35.0,3.0,1.0,1.0,1.0,In Processing,nan,nan,nan,nan,2025-01-06 15:57:56,nan,nan,9,nan,January 18 2025,Esperanza Charter School,nan
669,nan,79.0,88.0,39.0,46.0,20.0,1.0,25.0,In Processing,nan,nan,nan,nan,2024-12-19 7:20:19,nan,nan,10,nan,January 18 2025,Lycee Francais de la Nouvelle Orleans,nan
670,nan,26.0,61.0,41.0,13.0,1.0,1.0,11.0,In Processing,nan,nan,nan,nan,2024-12-04 14:43:48,nan,nan,9,nan,December 14 2024,Phillis Wheatley Community School,nan
671,nan,90.0,97.0,29.0,56.0,26.0,1.0,29.0,In Processing,nan,nan,nan,nan,2024-11-21 10:01:17,nan,nan,9,nan,April 26 2025 (No-rest option),Einstein Middle School,nan
672,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-11-21 14:19:54,nan,nan,11,nan,December 14 2024,Other,nan
